ID;City_id;date;passport_id;name_company;phone_number;quantity
1;3;08.01.2024 ДҮЙСЕНБІ;8457391284;ИП Ветер Степи;77011234567;50
2;5;08.01.2024 ДҮЙСЕНБІ;1029384756;ИП Золотой Шығыс;77787654321;30
3;4;15.01.2024 ДҮЙСЕНБІ;5986734123;ИП Дала Свет;77029876543;15
4;6;15.01.2024 ДУЙСЕНИ;4859673210;ИП Коктем Цветы;77715551234;15
5;3;15.01.2024 ДҮЙСЕНБІ;1290847563;ИП Тау Края;77777777777;45
6;3;22.01.2024 ДҮЙСЕНБІ;3908574162;ИП Сары Арка;77021234567;60
7;2;22.01.2024 ДҮЙСЕНБІ;5648391027;ИП Күн Рассвет;77716549875;20
8;8;29.01.2024 ДҮЙСЕНБІ;6739204851;ИП Гулли Сад;77031111111;30
9;6;08.01.2024 ДҮЙСЕНБІ;2948571630;ИП Нурли Путь;77729998888;30
10;8;15.01.2024 ДҮЙСЕНБІ;4729586310;ИП Жасыл Город;77047778899;15
11;1;15.01.2024 ДУЙСЕНИ;3894567120;ИП Таза Вода;77768889900;15
12;2;15.01.2024 ДҮЙСЕНБІ;5812390467;ИП Самал Ветер;77051234567;45
13;9;22.01.2024 ДҮЙСЕНБІ;9023458716;ИП Жарық Шахта;77744332211;60
14;6;22.01.2024 ДҮЙСЕНБІ;7563904821;ИП Сырдария Воды;77021212121;20
15;2;29.01.2024 ДҮЙСЕНБІ;2374895610;ИП Қазына Богатство;77799998877;30
16;4;08.01.2024 ДҮЙСЕНБІ;6891745230;ИП Алтын Урожай;77067676767;30
17;1;15.01.2024 ДҮЙСЕНБІ;4932058617;ИП Шөл Пустыня;77776767676;15
18;4;15.01.2024 ДУЙСЕНИ;5841723960;ИП Жемчужина Каспий;77071111111;15
19;9;15.01.2024 ДҮЙСЕНБІ;7604952138;ИП Береке Рынок;77791111111;45
20;4;22.01.2024 ДҮЙСЕНБІ;8234905167;ИП Сырым Знание;77088888888;60
21;2;22.01.2024 ДҮЙСЕНБІ;6519824370;ИП Киелі Места;77799999999;20
22;3;29.01.2024 ДҮЙСЕНБІ;1928374650;ИП Ай Луна;77021234567;30
23;3;08.01.2024 ДҮЙСЕНБІ;3087564912;ИП Туған Жер;77754321098;30
24;6;15.01.2024 ДҮЙСЕНБІ;4795263810;ИП Сұлу Краса;77012345678;15
25;5;15.01.2024 ДУЙСЕНИ;9824673510;ИП Қайрат Сила;77756789012;15
26;1;15.01.2024 ДҮЙСЕНБІ;2951847603;ИП Батырская Душа;77077777777;45
27;3;22.01.2024 ДҮЙСЕНБІ;7104926538;ИП Нұрлы Заря;77788888888;60
28;2;22.01.2024 ДҮЙСЕНБІ;8574631920;ИП Степная Сказка;77023456789;20
29;7;29.01.2024 ДҮЙСЕНБІ;3957812640;ИП Ақкөл Озеро;77734567890;30
30;4;08.01.2024 ДҮЙСЕНБІ;6190827354;ИП Мейрам Праздник;77098765432;30
31;6;15.01.2024 ДҮЙСЕНБІ;2043658971;ИП Қолөнер Ремесло;77787654321;15
32;4;15.01.2024 ДУЙСЕНИ;3871452690;ИП Жайлау Отдых;77011111111;15
33;3;15.01.2024 ДҮЙСЕНБІ;4182957063;ИП Қыран Орел;77722222222;45
